img_id le_x le_y re_x re_y n_x n_y lm_x lm_y rm_x rm_y
lfw/George_HW_Bush/George_HW_Bush_0001.jpg 103.185 106.812 147.876 107.951 120.47 144.679 109.32 164.817 146.617 165.547
lfw/George_HW_Bush/George_HW_Bush_0002.jpg 77.0549 125.108 107.688 107.238 95.682 139.928 101.404 165.396 130.812 149.908
lfw/George_HW_Bush/George_HW_Bush_0003.jpg 102.964 119.302 146.117 109.331 129.252 149.943 118.517 171.491 154.819 162.37
lfw/George_HW_Bush/George_HW_Bush_0004.jpg 111.745 113.74 143.033 108.927 126.027 134.878 115.982 154.405 154.673 149.388
lfw/George_HW_Bush/George_HW_Bush_0005.jpg 112.626 108.23 151.812 111.816 138.717 140.708 104.83 155.277 144.901 158.308
lfw/George_HW_Bush/George_HW_Bush_0006.jpg 106.343 111.766 145.217 114.518 125.312 140.358 106.365 158.58 140.883 161.243
lfw/George_HW_Bush/George_HW_Bush_0007.jpg 107.127 112.875 146.44 112.714 126.359 141.422 104.731 152.565 152.856 152.62
lfw/George_HW_Bush/George_HW_Bush_0008.jpg 109.545 110.83 146.259 113.941 139.437 140.897 103.298 160.989 141.508 164.305
lfw/George_HW_Bush/George_HW_Bush_0009.jpg 103.115 113.516 138.125 114.577 117.829 141.518 103.286 154.568 138.442 156.971
lfw/George_HW_Bush/George_HW_Bush_0010.jpg 103.05 115.645 135.71 113.506 118.093 134.763 100.675 153.949 140.625 152.405
lfw/George_HW_Bush/George_HW_Bush_0011.jpg 105.39 112.405 145.819 114.414 118.992 143.631 104.438 161.761 142.66 164.566
lfw/George_HW_Bush/George_HW_Bush_0012.jpg 108.27 105.634 145.514 114.633 121.883 134.199 98.6818 146.209 139.453 156.168
lfw/George_HW_Bush/George_HW_Bush_0013.jpg 109.3 116.055 144.128 111.419 132.486 144.437 108.89 157.879 146.761 153.279
lfw/Curtis_Strange/Curtis_Strange_0001.jpg 108.382 112.585 144.467 113.891 124.421 139.101 108.576 153.141 141.148 154.755
lfw/Marc_Grossman/Marc_Grossman_0001.jpg 104.3 104.818 144.538 112.101 122.854 138.61 97.6899 144.864 138.615 150.734
lfw/Marc_Grossman/Marc_Grossman_0002.jpg 101.63 110.525 145.469 107.611 131.688 137.854 111.56 163.783 145.545 160.405
lfw/Marc_Grossman/Marc_Grossman_0004.jpg 108.569 107.179 149.512 116.423 123.711 138.049 101.704 155.9 135.508 164.271
lfw/Michael_Schumacher/Michael_Schumacher_0001.jpg 105.128 107.563 146.441 109.815 126.752 139.503 108.849 160.705 137.227 162.873
