img_id left top width height
lfw/George_HW_Bush/George_HW_Bush_0001.jpg 73 60 123 123
lfw/George_HW_Bush/George_HW_Bush_0002.jpg 50 60 125 125
lfw/George_HW_Bush/George_HW_Bush_0003.jpg 81 69 113 113
lfw/George_HW_Bush/George_HW_Bush_0004.jpg 84 72 108 108
lfw/George_HW_Bush/George_HW_Bush_0005.jpg 60 55 127 127
lfw/George_HW_Bush/George_HW_Bush_0006.jpg 74 79 105 105
lfw/George_HW_Bush/George_HW_Bush_0007.jpg 76 70 110 110
lfw/George_HW_Bush/George_HW_Bush_0008.jpg 49 62 120 120
lfw/George_HW_Bush/George_HW_Bush_0009.jpg 81 80 96 96
lfw/George_HW_Bush/George_HW_Bush_0010.jpg 79 90 90 90
lfw/George_HW_Bush/George_HW_Bush_0011.jpg 77 77 108 108
lfw/George_HW_Bush/George_HW_Bush_0012.jpg 78 72 102 102
lfw/George_HW_Bush/George_HW_Bush_0013.jpg 59 67 115 115
lfw/Curtis_Strange/Curtis_Strange_0001.jpg 84 93 89 89
lfw/Marc_Grossman/Marc_Grossman_0001.jpg 78 75 97 97
lfw/Marc_Grossman/Marc_Grossman_0002.jpg 59 71 116 116
lfw/Marc_Grossman/Marc_Grossman_0004.jpg 73 68 114 114
lfw/Michael_Schumacher/Michael_Schumacher_0001.jpg 71 79 107 107
lfw/Michael_Schumacher/Michael_Schumacher_0002.jpg 76 77 99 99
lfw/Michael_Schumacher/Michael_Schumacher_0003.jpg 66 74 120 120
lfw/Michael_Schumacher/Michael_Schumacher_0004.jpg 64 77 122 122
lfw/Michael_Schumacher/Michael_Schumacher_0005.jpg 80 63 133 133
lfw/Michael_Schumacher/Michael_Schumacher_0006.jpg 67 66 110 110
lfw/Michael_Schumacher/Michael_Schumacher_0007.jpg 59 72 111 111
lfw/Michael_Schumacher/Michael_Schumacher_0008.jpg 58 62 126 126
lfw/Michael_Schumacher/Michael_Schumacher_0009.jpg 73 74 111 111
lfw/Michael_Schumacher/Michael_Schumacher_0010.jpg 74 78 99 99
lfw/Michael_Schumacher/Michael_Schumacher_0011.jpg 74 78 99 99
lfw/Michael_Schumacher/Michael_Schumacher_0012.jpg 72 75 101 101
lfw/Michael_Schumacher/Michael_Schumacher_0013.jpg 87 74 103 103
lfw/Michael_Schumacher/Michael_Schumacher_0014.jpg 81 93 88 88
lfw/Michael_Schumacher/Michael_Schumacher_0015.jpg 80 86 92 92
lfw/Michael_Schumacher/Michael_Schumacher_0016.jpg 59 73 121 121
lfw/Michael_Schumacher/Michael_Schumacher_0017.jpg 78 78 96 96
lfw/Michael_Schumacher/Michael_Schumacher_0018.jpg 74 75 99 99
lfw/Paul_ONeill/Paul_ONeill_0001.jpg 56 62 120 120
lfw/Paul_ONeill/Paul_ONeill_0002.jpg 67 68 100 100
lfw/Paul_ONeill/Paul_ONeill_0003.jpg 70 64 116 116
lfw/Paul_ONeill/Paul_ONeill_0004.jpg 63 64 118 118
lfw/Paul_ONeill/Paul_ONeill_0005.jpg 71 69 105 105
lfw/Paul_ONeill/Paul_ONeill_0006.jpg 67 69 109 109
lfw/Paul_ONeill/Paul_ONeill_0007.jpg 72 68 103 103
lfw/Paul_ONeill/Paul_ONeill_0008.jpg 76 76 92 92
lfw/Paul_ONeill/Paul_ONeill_0009.jpg 80 68 119 119
lfw/John_Manley/John_Manley_0001.jpg 78 80 100 100
lfw/John_Manley/John_Manley_0002.jpg 89 78 97 97
lfw/John_Manley/John_Manley_0003.jpg 65 71 106 106
lfw/John_Manley/John_Manley_0004.jpg 78 89 86 86
lfw/John_Manley/John_Manley_0005.jpg 73 71 111 111
lfw/John_Manley/John_Manley_0006.jpg 66 76 110 110
lfw/John_Manley/John_Manley_0007.jpg 73 73 118 118
lfw/Darren_Clarke/Darren_Clarke_0001.jpg 76 72 114 114
lfw/Darren_Clarke/Darren_Clarke_0002.jpg 67 71 114 114
lfw/Mstislav_Rostropovich/Mstislav_Rostropovich_0001.jpg 64 55 115 115
lfw/Larry_Ellison/Larry_Ellison_0001.jpg 59 69 112 112
lfw/Larry_Ellison/Larry_Ellison_0002.jpg 55 64 120 120
lfw/Larry_Ellison/Larry_Ellison_0003.jpg 71 72 103 103
lfw/Gloria_Macapagal_Arroyo/Gloria_Macapagal_Arroyo_0001.jpg 66 69 118 118
